vehicle_1,vehicle_2,vehicle_1_route,vehicle_2_route,weighted_congestion_score
15,446,1,1,1.9726680061728155
15,657,1,2,7.071724081778256
15,660,1,2,3.4831190505858065
15,690,1,1,2.3725962593163117
15,690,1,2,0.8693210628046355
15,778,1,1,0.452194192528568
15,871,1,2,0.42146915873505386
15,891,1,2,0.432673642429663
15,907,1,2,2.5258153823876417
15,926,1,2,1.886715483175887
15,993,1,1,11.314710077085985
15,993,1,2,0.0
16,258,1,2,0.34738361489723685
16,416,2,2,0.5681147728311409
16,536,1,1,0.40951171806009834
16,536,2,1,0.3358704895066459
17,230,2,1,18.276700628486086
17,230,2,2,0.47310522467756755
17,289,2,2,0.17877478031207866
17,637,2,2,4.886870357242978
17,753,2,2,1.8697124020829805
17,757,1,1,0.6210956384783975
17,757,1,2,2.938495412402484
17,757,2,1,0.6210956384783975
17,757,2,2,17.80619787876041
17,762,1,1,0.40897950467481176
17,762,1,2,3.2019678914816714
17,762,2,1,0.40897950467481176
17,762,2,2,0.40897950467481176
17,816,2,2,4.201926363919637
17,877,1,1,0.4604082539880183
17,877,1,2,15.392013029363367
17,877,2,1,0.4604082539880183
17,877,2,2,2.0400323510759364
19,28,2,2,5.483097938472264
19,32,1,1,0.4594008384779232
19,44,1,2,1.4972687780190674
19,44,2,2,2.2496840793977366
19,117,1,1,7.413800809981096
19,117,1,2,2.14610520519893
19,117,2,1,0.6080470922565303
19,117,2,2,1.038631236570248
19,124,1,2,5.1008339407252965
19,124,2,2,0.6774658112228582
19,133,2,1,1.7333809340683644
19,133,2,2,0.8363778898301535
19,146,1,1,0.5203861260584951
19,190,1,1,0.6360806966465187
19,198,2,1,0.5425729482549759
19,249,1,2,2.016397875208193
19,260,1,1,1.34956550436091
19,260,2,1,1.0919235909024203
19,288,1,1,0.6222084214406679
19,288,1,2,1.3737758875572268
19,288,2,2,1.5834884289278865
19,368,1,1,1.2811857632663801
19,368,2,1,3.2723343034546106
19,383,1,1,0.46980093134441475
19,391,1,1,0.5598597654818834
19,391,2,1,9.565193162151424
19,391,2,2,5.492208832093498
19,427,1,1,1.3629799979044845
19,427,2,1,1.1446831162605422
19,444,1,1,1.4710052641739964
19,444,2,1,2.2980762231068135
19,470,1,1,0.4838343668512615
19,470,2,1,2.737824455374178
19,474,2,2,0.880040624339505
19,485,1,1,1.328086467900041
19,523,1,2,0.4836164058641545
19,523,2,2,1.978307203113091
19,542,1,2,0.9645960209301221
19,561,1,1,1.1326706809276064
19,561,2,1,10.971752816917643
19,567,1,1,1.1854150463869086
19,567,2,1,2.9143203265853064
19,651,1,2,0.4734514669350129
19,683,1,2,1.2327566133572985
19,683,2,2,1.9509585646247185
19,727,1,2,0.558175327725354
19,727,2,1,3.0225453217044778
19,727,2,2,9.863968966574818
19,742,2,2,0.3986224409779498
19,798,2,1,0.6233069858549329
19,808,2,1,0.4687788720343382
19,813,2,2,0.8770211654825905
19,824,1,1,0.6290475024284058
19,826,2,2,5.70230279561954
19,852,1,1,1.711249561464233
19,852,1,2,1.8033631274015125
19,852,2,1,0.5278266062329781
19,852,2,2,1.2173256195505915
19,858,2,2,0.4023810054952312
19,874,1,1,0.6604192943324239
19,874,2,1,5.261148453090621
19,902,1,1,0.6001918477846853
19,917,1,1,2.1523592818947623
19,944,1,1,0.5585353587644132
19,944,2,1,12.264432253124369
19,946,2,2,0.8021838324916356
19,951,1,2,2.136085842334678
19,979,2,2,0.7083162358668785
20,53,1,1,0.9856789441222973
20,53,1,2,0.7505666879972933
20,85,1,2,1.0713243554869938
20,85,2,2,0.5838214866394651
20,103,2,1,0.37286366127229653
20,129,1,1,3.7267285805365664
20,647,1,2,1.35078022583035
20,647,2,2,3.9215609044866158
20,704,2,1,0.30468506058646205
20,726,1,1,0.43154961209807174
20,726,2,1,2.2283545607136883
20,795,2,2,0.34565903445078483
20,936,2,2,1.4359209013202534
20,957,2,1,1.5116399751596141
20,969,2,2,2.04210112605113
20,971,1,1,0.40378392017848913
21,26,1,1,6.6650615424864865
21,48,2,2,2.0906707771545987
21,49,1,1,17.2042873692148
21,73,2,2,3.8731868367793103
21,101,1,2,0.4784284393986972
21,159,2,1,1.7540743064680824
21,238,1,2,4.439045832349384
21,277,1,1,2.7144924312544383
21,278,1,1,0.2015063615500093
21,282,1,1,1.3613217216250022
21,416,1,1,3.896906151962828
21,416,2,2,5.805877526680841
21,434,2,1,2.9832213356837123
21,516,1,1,10.177103304008703
21,516,1,2,1.898350664968543
21,516,2,1,1.898350664968543
21,516,2,2,11.150871876371077
21,520,2,2,2.597825093581596
21,549,2,2,3.0270896837666332
21,597,2,2,0.49966973989465363
21,639,1,2,2.7864407296674463
21,712,1,1,6.4514302240971
21,772,2,1,3.883429408657395
21,772,2,2,2.052767784509349
21,809,2,2,1.1452079798614339
21,837,2,1,0.8839548628627979
21,875,2,2,3.7709948840872953
21,892,1,2,4.8876307921918105
21,913,1,2,0.514104909596866
21,963,2,1,0.41036639177030454
21,967,2,2,0.5962775457489586
21,976,1,1,1.1506928910301037
21,992,2,2,0.4967112198054079
22,26,2,1,5.33309575595498
22,26,2,2,2.288421362160677
22,27,2,2,4.24709419997533
22,164,2,2,0.6083437567753688
22,238,2,2,2.0057004733129364
22,372,2,2,0.9022609148271808
22,388,2,1,0.7132828295002978
22,390,2,2,0.8871178978486209
22,529,1,1,0.0
22,529,2,1,0.3681540731219452
22,670,2,1,1.2321079010718219
22,670,2,2,0.0
22,716,1,2,0.3467909020302494
22,892,2,2,6.476268014861905
22,918,2,1,0.2611522351604886
22,997,1,2,1.273797714658476
23,477,2,1,0.5485572158752691
23,477,2,2,0.5485572158752691
23,550,2,1,1.698790652705375
23,550,2,2,1.698790652705375
23,730,2,1,0.7423562019354469
23,930,2,1,0.7645257490219024
23,930,2,2,0.7645257490219024
24,522,1,2,3.319316541777306
25,245,1,1,0.9895068224342698
25,245,1,2,0.9895068224342698
25,245,2,1,2.107482237739275
25,245,2,2,2.107482237739275
26,49,1,1,17.123368408291046
26,49,2,1,0.0
26,69,2,1,3.23102901712559
26,101,1,2,0.5337605704800767
26,152,2,1,0.8152800877275783
26,164,1,2,5.538709070283309
26,164,2,2,5.210615981822237
26,185,2,2,0.0
26,217,1,2,0.3150333440007037
26,217,2,2,0.7255693980136504
26,238,1,2,12.8558775863039
26,238,2,2,1.2187709698150213
26,253,1,1,0.9214272062797627
26,254,1,2,0.7333988679004608
